account_name,account_csn,account_type,account_segmentation
AFFILIATED ENGINEERS INC.,70004213,Global - 1 Sales Rep,Operate Strategic
MATRIX SERVICE [GP],70081290,Global - 1 Sales Rep,Operate
DIALOG,70100938,Global - 1 Sales Rep,Growth
HASKELL CO. [GP],70169914,Global - 1 Sales Rep,Growth
MICRON TECHNOLOGY,70186880,Global - 1 Sales Rep,Growth
KPFF INC,70199442,Global - 1 Sales Rep,Operate
SSOE GROUP,70216412,Global - 1 Sales Rep,Growth
PERKINS + WILL GROUP,5070052073,Global - 1 Sales Rep,Growth
SMITH GROUP INC.,5070065009,Global - 1 Sales Rep,Operate Strategic
MCDERMOTT INC,5070120015,Global - 1 Sales Rep,Operate
BAYER AG,5070120018,Global - 1 Sales Rep,Operate Strategic
STV GROUP INC. [GP],5070124999,Global - 1 Sales Rep,Operate Strategic
Exxon Mobil Corp,5070125005,Global - 1 Sales Rep,Medium Growth
VOLVO AB,5070130011,Global - 1 Sales Rep,Growth
POWELL INDUSTRIES,5070130021,Global - 1 Sales Rep,Growth
KOHN PEDERSEN FOX,5070147171,Global - 1 Sales Rep,Operate Strategic
DEVCON CONST,5070158133,Global - 1 Sales Rep,Operate
PHILIPS ELECTRONICS NV [GP],5070168034,Global - 1 Sales Rep,Growth
EXYTE MANAGEMENT GMBH,5070181264,Global - 1 Sales Rep,Medium Growth
ALSTOM [GP],5070186087,Global - 1 Sales Rep,Growth
KIEWIT CONST,5070186215,Global - 1 Sales Rep,Medium Growth
Hammel Green & Abrahamson Inc,5070191281,Global - 1 Sales Rep,Operate Strategic
SULZER AG,5070192397,Global - 1 Sales Rep,Operate
TRC COMPANIES INC.,5070211014,Global - 1 Sales Rep,Operate
CATERPILLAR,5070213015,Global - 1 Sales Rep,Growth
TETRA TECH INC.,5070214043,Global - 1 Sales Rep,Growth
EMCOR GROUP INC.,5070214046,Global - 1 Sales Rep,Growth
Johnson Controls Int PLC,5070214086,Global - 1 Sales Rep,Medium Growth
EATON CORP.,5070214097,Global - 1 Sales Rep,Operate Strategic
Johnson & Johnson,5070214108,Global - 1 Sales Rep,Operate Strategic
KBR INC.,5070214135,Global - 1 Sales Rep,Growth
CONOCO PHILLIPS,5070214216,Global - 1 Sales Rep,Operate Strategic
CHEVRON,5070217002,Global - 1 Sales Rep,Medium Growth
HNTB HOLDINGS LTD,5070217021,Global - 1 Sales Rep,Growth
ANDRITZ AG,5070218089,Global - 1 Sales Rep,Medium Growth
Skidmore Owings & Merrill LLP,5070221028,Global - 1 Sales Rep,Operate
SANDVIK AB,5070221029,Global - 1 Sales Rep,Growth
Daimler AG,5070225006,Global - 1 Sales Rep,Medium Growth
VANASSE HANGEN BRUSTLIN INC. [GP],5070229012,Global - 1 Sales Rep,Operate Strategic
SKANSKA AB,5070229024,Global - Multi-Rep,Medium Growth
ALFA LAVAL LUND AB [GP],5070230010,Global - 1 Sales Rep,Growth
GEA GROUP AG,5070233997,Global - 1 Sales Rep,Growth
M ARTHUR GENSLER & ASSOCS,5070244056,Global - 1 Sales Rep,Operate Strategic
Danaher Corp,5070244084,Global - 1 Sales Rep,Growth
THE CANNON CORP.,5070244153,Global - 1 Sales Rep,Operate Strategic
BAE SYSTEMS,5070244193,Global - 1 Sales Rep,Growth
INTEL CORP.,5070244230,Global - 1 Sales Rep,Medium Growth
KIMLEY HORN GROUP INC.,5070245025,Global - 1 Sales Rep,Medium Growth
